date,close,turnover_rate,ma5
2024-01-02,52.6,1.93,
2024-01-03,50.62,2.77,
2024-01-04,48.99,2.84,
2024-01-05,47.75,2.07,
2024-01-08,46.6,2.51,49.31
2024-01-09,46.64,2.11,48.12
2024-01-10,45.79,1.85,47.15
2024-01-11,46.51,1.88,46.66
2024-01-12,45.64,1.41,46.24
2024-01-15,45.43,1.47,46.0
2024-01-16,44.74,2.11,45.62
2024-01-17,43.1,1.78,45.08
2024-01-18,43.39,2.66,44.46
2024-01-19,43.1,1.64,43.95
2024-01-22,40.69,2.93,43.0
2024-01-23,42.04,2.59,42.46
2024-01-24,42.04,2.65,42.25
2024-01-25,43.94,3.28,42.36
2024-01-26,42.19,2.59,42.18
2024-01-29,40.54,2.48,42.15
2024-01-30,38.92,1.87,41.53
2024-01-31,37.59,2.2,40.64
2024-02-01,37.85,2.13,39.42
2024-02-02,35.67,2.77,38.11
2024-02-05,33.06,3.81,36.62
2024-02-06,36.49,3.92,36.13
2024-02-07,39.73,6.43,36.56
2024-02-08,42.19,4.52,37.43
2024-02-19,43.79,4.52,39.05
2024-02-20,43.55,2.52,41.15
2024-02-21,43.8,3.07,42.61
2024-02-22,45.67,3.43,43.8
2024-02-23,45.3,2.68,44.42
2024-02-26,45.62,2.36,44.79
2024-02-27,47.04,2.84,45.49
2024-02-28,44.6,3.57,45.65
2024-02-29,49.19,5.29,46.35
2024-03-01,49.01,3.99,47.09
2024-03-04,52.17,5.96,48.4
2024-03-05,51.92,4.89,49.38
2024-03-06,51.19,2.92,50.7
2024-03-07,51.14,4.04,51.09
2024-03-08,54.8,5.01,52.24
2024-03-11,54.49,3.67,52.71
2024-03-12,53.68,3.67,53.06
2024-03-13,52.97,3.14,53.42
2024-03-14,52.97,2.94,53.78
2024-03-15,53.19,2.14,53.46
2024-03-18,55.06,2.92,53.57
2024-03-19,53.62,2.62,53.56
2024-03-20,54.22,2.61,53.81
2024-03-21,56.15,6.12,54.45
2024-03-22,57.44,5.26,55.3
2024-03-25,54.0,4.63,55.09
2024-03-26,53.24,3.22,55.01
2024-03-27,51.04,2.76,54.37
2024-03-28,52.13,2.35,53.57
2024-03-29,54.56,2.64,52.99
2024-04-01,54.79,1.85,53.15
2024-04-02,54.87,2.38,53.48
2024-04-03,53.7,2.18,54.01
2024-04-08,52.42,1.44,54.07
2024-04-09,53.44,1.46,53.84
2024-04-10,51.44,2.04,53.17
2024-04-11,51.54,1.37,52.51
2024-04-12,52.44,1.95,52.26
2024-04-15,52.79,1.59,52.33
2024-04-16,49.56,1.97,51.55
2024-04-17,54.64,2.62,52.19
2024-04-18,56.3,4.4,53.15
2024-04-19,56.41,2.7,53.94
2024-04-22,56.17,1.94,54.62
2024-04-23,57.14,2.64,56.13
2024-04-24,58.37,2.85,56.88
2024-04-25,59.44,3.39,57.51
2024-04-26,58.87,4.32,58.0
2024-04-29,62.99,4.45,59.36
2024-04-30,62.93,3.04,60.52
2024-05-06,61.67,3.28,61.18
2024-05-07,60.06,3.91,61.3
2024-05-08,59.35,2.21,61.4
2024-05-09,59.26,2.55,60.65
2024-05-10,58.07,2.95,59.68
2024-05-13,58.22,2.82,58.99
2024-05-14,57.3,1.78,58.44
2024-05-15,57.57,2.04,58.08
2024-05-16,57.62,1.93,57.76
2024-05-17,58.2,1.43,57.78
2024-05-20,60.49,2.81,58.24
2024-05-21,59.74,2.05,58.72
2024-05-22,57.85,2.11,58.78
2024-05-23,56.44,2.15,58.54
2024-05-24,55.23,1.59,57.95
2024-05-27,60.09,5.39,57.87
2024-05-28,59.42,5.79,57.81
2024-05-29,58.57,2.54,57.95
2024-05-30,58.55,2.9,58.37
2024-05-31,58.25,2.19,58.98
2024-06-03,59.93,3.23,58.94
2024-06-04,60.89,3.07,59.24
2024-06-05,60.29,2.36,59.58
2024-06-06,59.98,3.14,59.87
2024-06-07,58.67,2.74,59.95
2024-06-11,60.2,3.92,60.01
2024-06-12,61.0,3.73,60.03
2024-06-13,62.5,5.5,60.47
2024-06-14,63.11,3.89,61.1
2024-06-17,64.18,3.07,62.2
2024-06-18,63.7,3.02,62.9
2024-06-19,62.64,3.9,63.23
2024-06-20,62.94,4.35,63.31
2024-06-21,64.29,3.34,63.55
2024-06-24,63.19,3.29,63.35
2024-06-25,60.7,4.03,62.75
2024-06-26,61.54,2.44,62.53
2024-06-27,61.57,2.54,62.26
2024-06-28,62.01,2.26,61.8
2024-07-01,64.61,3.51,62.09
2024-07-02,63.18,2.41,62.58
2024-07-03,65.29,3.64,63.33
2024-07-04,64.42,2.18,63.9
2024-07-05,63.81,2.14,64.26
2024-07-08,63.7,2.75,64.08
2024-07-09,66.58,4.34,64.76
2024-07-10,65.7,3.22,64.84
2024-07-11,67.07,4.09,65.37
2024-07-12,68.32,3.8,66.27
2024-07-15,67.54,2.94,67.04
2024-07-16,68.91,3.03,67.51
2024-07-17,65.0,4.31,67.37
2024-07-18,65.3,4.02,67.01
2024-07-19,64.82,3.06,66.31
2024-07-22,64.76,2.35,65.76
2024-07-23,60.95,3.64,64.17
2024-07-24,58.33,3.76,62.83
2024-07-25,56.6,3.27,61.09
2024-07-26,57.54,2.45,59.64
2024-07-29,56.39,2.17,57.96
2024-07-30,56.16,2.47,57.0
2024-07-31,58.3,2.96,57.0
2024-08-01,59.23,2.67,57.52
2024-08-02,55.88,3.05,57.19
2024-08-05,51.21,5.54,56.16
2024-08-06,52.76,3.01,55.48
2024-08-07,52.8,1.56,54.38
2024-08-08,53.5,2.28,53.23
2024-08-09,53.22,2.0,52.7
2024-08-12,53.52,1.62,53.16
2024-08-13,53.88,1.2,53.38
2024-08-14,52.74,1.31,53.37
2024-08-15,52.78,1.46,53.23
2024-08-16,52.63,1.45,53.11
2024-08-19,52.35,1.34,52.88
2024-08-20,51.9,1.45,52.48
2024-08-21,51.58,1.23,52.25
2024-08-22,50.52,1.47,51.8
2024-08-23,50.36,1.18,51.34
2024-08-26,51.2,1.36,51.11
2024-08-27,50.24,1.09,50.78
2024-08-28,51.21,1.73,50.71
2024-08-29,52.51,2.35,51.1
2024-08-30,54.87,3.11,52.01
2024-09-02,51.76,2.43,52.12
2024-09-03,52.99,1.53,52.67
2024-09-04,52.49,1.35,52.92
2024-09-05,52.24,1.11,52.87
2024-09-06,49.83,2.1,51.86
2024-09-09,49.08,1.66,51.33
2024-09-10,50.2,1.92,50.77
2024-09-11,50.0,0.86,50.27
2024-09-12,49.41,1.23,49.7
2024-09-13,48.61,1.18,49.46
2024-09-18,48.95,1.26,49.43
2024-09-19,48.02,2.34,49.0
2024-09-20,47.89,1.72,48.58
2024-09-23,46.03,2.93,47.9
2024-09-24,49.11,3.62,48.0
2024-09-25,49.1,3.52,48.03
2024-09-26,51.45,3.54,48.72
2024-09-27,55.22,4.78,50.18
2024-09-30,60.8,6.64,53.14
2024-10-08,66.94,7.6,56.7
2024-10-09,65.02,9.98,59.89
2024-10-10,61.16,6.88,61.83
2024-10-11,58.27,4.06,62.44
2024-10-14,59.33,4.38,62.14
2024-10-15,58.49,4.53,60.45
2024-10-16,57.87,3.2,59.02
2024-10-17,57.59,2.76,58.31
2024-10-18,62.04,6.09,59.06
2024-10-21,63.81,7.64,59.96
2024-10-22,61.86,6.39,60.63
